name,height (cm),longevity (years),place of origin,color,climate,cut flowers,perfumes,medicine,average number of petals
Zinnia,20-60,1-2,South and Central America,"Red, pink, white",Tropical to temperate,1,0,1,5-10
Alstroemeria,20-70,1-2,South America,"Red, pink, white",Temperate,1,0,1,3-6
Anemone,20-40,1-2,"Europe, Asia","Red, pink, white",Temperate,1,0,1,5-8
Asters,20-80,2-3,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Calendula,20-60,1-2,"Europe, Asia","Orange, yellow",Temperate,1,0,1,10-20
Carnation,20-60,2-3,"Europe, Asia","Red, pink, white",Temperate,1,0,1,5-10
Cosmos,20-80,1-2,North and South America,"Red, pink, white",Temperate to tropical,1,0,1,10-20
Dandelion,20-40,1-2,"Europe, Asia",Yellow,Temperate,1,0,1,5-10
Delphinium,60-180,2-3,"Europe, Asia","Blue, purple, white",Temperate,1,0,1,5-8
Foxglove,60-180,2-3,Europe,"Purple, pink, white",Temperate,1,0,1,5-10
Ylang-ylang,30-60,5-10,Asia,Yellow,Tropical,1,1,1,5-8
Tuberose,30-60,5-10,Asia,White,Tropical,1,1,1,5-11
Honeysuckle,100-300,5-10,"Asia, Europe","Yellow, white",Temperate to tropical,1,1,1,5-10
Frangipani,50-100,5-10,"Asia, South America","White, yellow",Tropical,1,1,1,5-8
Heliotrope,30-60,2-3,"Europe, Asia",Purple,Temperate,1,1,1,5-10
Geranium,30-90,2-3,"Africa, South America","Red, pink, white",Tropical to temperate,1,1,1,5-7
Clove,30-60,5-10,Asia,Red,Tropical,1,1,1,5-10
Cumin,30-60,5-10,Asia,Yellow,Tropical,1,1,1,5-10
Cactus,20-300,5-10,"Americas, Africa","Red, yellow, pink",Desert,0,0,0,Variable
Venus flytrap,20-40,5-10,North and South America,Green,Temperate,0,0,0,Variable
Pitcher plant,20-40,5-10,North and South America,Green,Temperate,0,0,0,Variable
Sundew,20-40,5-10,North and South America,Green,Temperate,0,0,0,Variable
Bladderwort,20-40,5-10,North and South America,Green,Temperate,0,0,0,Variable
Butterwort,20-40,5-10,North and South America,Green,Temperate,0,0,0,Variable
Cobra lily,20-40,5-10,North and South America,Green,Temperate,0,0,0,Variable
Cobra plant,20-40,5-10,North and South America,Green,Temperate,0,0,0,Variable
Corkscrew plant,20-40,5-10,North and South America,Green,Temperate,0,0,0,Variable
Larkspur,60-180,2-3,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Monkshood,60-180,2-3,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Digitalis,60-180,2-3,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Echinops,60-180,2-3,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Hollyhock,60-180,2-3,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Verbena,60-180,2-3,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Violets,20-40,1-2,"Europe, Asia","Purple, white",Temperate,1,0,1,5-10
Pansies,20-40,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Johnny jump ups,20-40,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Violas,20-40,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Forget-me-nots,20-40,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Sweet Williams,20-40,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Primroses,20-40,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Cyclamen,20-40,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Dwarf iris,20-40,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Bluebell,10-20,1-2,"Europe, Asia",Blue,cold,1,0,1,5-10
Daffodil,10-20,1-2,"Europe, Asia","Yellow, white","cold, temparate",1,0,1,5-10
Crocus,10-20,1-2,"Europe, Asia","Purple, pink, white","cold, temperate",1,0,1,5-10
Hyacinth,10-20,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Iris reticulata,10-20,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Chionodoxa,10-20,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Anemone,10-20,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
Scilla,10-20,1-2,"Europe, Asia","Purple, pink, white",Temperate,1,0,1,5-10
